subject	session	n_frames	mean_fd	median_fd	max_fd	n_frames_above_03	pct_frames_above_03	n_frames_above_05	pct_frames_above_05
sub-27	ses-02	240	0.16088529443514626	0.14204800000000004	1.0974976900000002	13	5.416666666666667	4	1.6666666666666667
sub-28	ses-01	240	0.18002738361087858	0.16666915	0.55047097	22	9.166666666666666	1	0.4166666666666667
sub-28	ses-02	240	0.15218211348117155	0.1404949600000001	0.57281464	10	4.166666666666667	2	0.8333333333333334
sub-29	ses-01	240	0.24322865974058602	0.22878680000000495	0.697587300000005	78	32.5	9	3.75
sub-29	ses-02	240	0.26388311402761494	0.25755749	0.59286487	86	35.833333333333336	7	2.9166666666666665
sub-30	ses-01	240	0.2745929681380751	0.27137698499999996	0.6149659999999999	96	40.0	6	2.5
sub-30	ses-02	240	0.21742048675313813	0.20804725	0.49506174999999986	51	21.25	0	0.0
sub-31	ses-01	240	0.20424790305598314	0.19776228	0.5299474000000001	36	15.0	1	0.4166666666666667
sub-31	ses-02	240	0.17643379685355634	0.16132646500000003	0.5552800950000001	14	5.833333333333333	1	0.4166666666666667
sub-32	ses-01	240	0.14445683731673656	0.13341270000000002	0.446682735	12	5.0	0	0.0
sub-32	ses-02	240	0.21432880682008376	0.20441922000000004	0.5335049000000001	32	13.333333333333334	2	0.8333333333333334
sub-33	ses-01	240	0.30145831240167353	0.26509134999999995	1.9010511499999998	101	42.083333333333336	32	13.333333333333334
sub-33	ses-02	240	0.3133529762891214	0.29795854999999993	0.8179275799999998	119	49.583333333333336	26	10.833333333333334
sub-34	ses-01	240	0.29813239451046	0.24362249999999996	4.7491467	84	35.0	11	4.583333333333333
sub-34	ses-02	240	0.20325458166527177	0.18520099999999998	0.9034289	34	14.166666666666666	3	1.25
sub-35	ses-01	240	0.2123586316453137	0.2017999909999999	1.725316587	35	14.583333333333334	2	0.8333333333333334
sub-35	ses-02	240	0.16821512034979072	0.14611082500000008	0.6917020349999999	16	6.666666666666667	5	2.0833333333333335
sub-36	ses-01	240	0.2324339837782427	0.2175205	0.581927500000005	63	26.25	2	0.8333333333333334
sub-36	ses-02	240	0.3129430083179914	0.30961589999999994	0.785164369999995	125	52.083333333333336	19	7.916666666666667
sub-37	ses-01	240	0.16960758718384936	0.15491735899999998	0.42321868500000004	18	7.5	0	0.0
sub-37	ses-02	240	0.20767998727029272	0.19328197	0.47956350000000003	43	17.916666666666668	0	0.0
sub-38	ses-01	240	0.21686632708535564	0.18642499999999998	2.2548494999999997	37	15.416666666666666	7	2.9166666666666665
sub-38	ses-02	240	0.18942059372041845	0.17714424999999998	1.006051949999995	23	9.583333333333334	1	0.4166666666666667
sub-39	ses-01	240	0.1789697502072805	0.1730041799999998	0.48537060000000004	24	10.0	0	0.0
sub-39	ses-02	240	0.16036345957071121	0.15283035000000003	0.38262045	11	4.583333333333333	0	0.0
sub-40	ses-01	240	0.1546749466820084	0.14702729999999992	0.40341944999999496	7	2.9166666666666665	0	0.0
sub-40	ses-02	240	0.13951322074895386	0.12071258000000004	0.4173308399999999	8	3.3333333333333335	0	0.0
