subject	session	layer	n_rois	n_timepoints	status	elapsed_sec	timestamp
sub-31	ses-01	Visual	55	240	DONE	6.1	2026-06-22T11:02:29
sub-31	ses-01	Motor	36	240	DONE	6.1	2026-06-22T11:02:30
sub-31	ses-01	Auditory	14	240	DONE	6.2	2026-06-22T11:02:30
sub-31	ses-02	Interoception	11	240	DONE	6.0	2026-06-22T11:02:36
sub-31	ses-02	Exteroception	14	240	DONE	6.0	2026-06-22T11:02:36
sub-31	ses-02	Cognition	12	240	DONE	6.1	2026-06-22T11:02:36
sub-31	ses-02	Visual	55	240	DONE	6.1	2026-06-22T11:02:36
sub-31	ses-02	Motor	36	240	DONE	6.1	2026-06-22T11:02:36
sub-31	ses-02	Auditory	14	240	DONE	6.1	2026-06-22T11:02:36
sub-32	ses-01	Interoception	11	240	DONE	6.6	2026-06-22T11:02:42
sub-32	ses-01	Exteroception	14	240	DONE	6.6	2026-06-22T11:02:42
sub-32	ses-01	Cognition	12	240	DONE	6.6	2026-06-22T11:02:42
sub-32	ses-01	Visual	55	240	DONE	6.6	2026-06-22T11:02:42
sub-32	ses-01	Motor	36	240	DONE	6.7	2026-06-22T11:02:42
sub-32	ses-01	Auditory	14	240	DONE	6.7	2026-06-22T11:02:42
sub-32	ses-02	Interoception	11	240	DONE	6.2	2026-06-22T11:02:49
sub-32	ses-02	Exteroception	14	240	DONE	6.2	2026-06-22T11:02:49
sub-32	ses-02	Cognition	12	240	DONE	6.2	2026-06-22T11:02:49
sub-32	ses-02	Visual	55	240	DONE	6.3	2026-06-22T11:02:49
sub-32	ses-02	Motor	36	240	DONE	6.3	2026-06-22T11:02:49
sub-32	ses-02	Auditory	14	240	DONE	6.3	2026-06-22T11:02:49
sub-33	ses-01	Interoception	11	240	DONE	6.3	2026-06-22T11:02:55
sub-33	ses-01	Exteroception	14	240	DONE	6.3	2026-06-22T11:02:55
sub-33	ses-01	Cognition	12	240	DONE	6.3	2026-06-22T11:02:55
sub-33	ses-01	Visual	55	240	DONE	6.4	2026-06-22T11:02:55
sub-33	ses-01	Motor	36	240	DONE	6.4	2026-06-22T11:02:55
sub-33	ses-01	Auditory	14	240	DONE	6.4	2026-06-22T11:02:55
sub-33	ses-02	Interoception	11	240	DONE	6.1	2026-06-22T11:03:01
sub-33	ses-02	Exteroception	14	240	DONE	6.1	2026-06-22T11:03:01
sub-33	ses-02	Cognition	12	240	DONE	6.1	2026-06-22T11:03:01
sub-33	ses-02	Visual	55	240	DONE	6.1	2026-06-22T11:03:01
sub-33	ses-02	Motor	36	240	DONE	6.2	2026-06-22T11:03:01
