roi_id	roi_name	x	y	z	n_voxels
324	L_IP2_ROI	-43.0	-44.0	45.0	257
325	L_IP1_ROI	-35.0	-64.0	45.0	257
326	L_IP0_ROI	-34.0	-72.0	31.0	257
327	L_PFop_ROI	-62.0	-19.0	26.0	257
328	L_PF_ROI	-61.0	-30.0	37.0	257
329	L_PFm_ROI	-53.0	-48.0	44.0	257
331	L_PGs_ROI	-46.0	-67.0	43.0	257
332	L_V6A_ROI	-23.0	-83.0	46.0	257
333	L_VMV1_ROI	-18.0	-55.0	-8.0	257
334	L_VMV3_ROI	-28.0	-60.1	-10.1	245
335	L_PHA2_ROI	-31.0	-35.0	-13.0	257
336	L_V4t_ROI	-50.0	-76.0	-1.0	257
338	L_V3CD_ROI	-36.0	-83.0	14.0	257
339	L_LO3_ROI	-45.0	-76.0	11.0	257
340	L_VMV2_ROI	-27.0	-55.0	-6.0	257
341	L_31pd_ROI	-11.0	-53.0	37.0	257
342	L_31a_ROI	-6.0	-41.0	42.0	257
343	L_VVC_ROI	-29.0	-45.0	-18.0	257
344	L_25_ROI	-4.0	23.0	-13.0	257
345	L_s32_ROI	-5.0	36.0	-14.0	257
346	L_pOFC_ROI	-14.0	14.0	-19.0	257
347	L_PoI1_ROI	-38.0	-9.0	-5.0	257
348	L_Ig_ROI	-37.0	-12.0	13.0	257
350	L_p10p_ROI	-25.0	60.0	5.0	257
351	L_p47r_ROI	-46.0	44.0	-4.0	257
352	L_TGv_ROI	-36.0	-1.0	-45.0	257
353	L_MBelt_ROI	-46.0	-15.0	4.0	257
354	L_LBelt_ROI	-47.0	-24.0	10.0	257
355	L_A4_ROI	-64.0	-15.0	7.0	257
356	L_STSva_ROI	-54.0	-10.0	-17.0	257
357	L_TE1m_ROI	-65.0	-23.0	-16.0	257
358	L_PI_ROI	-44.0	-3.0	-13.0	257
359	L_a32pr_ROI	-11.0	27.0	31.0	257
360	L_p24_ROI	-5.0	37.0	16.0	257
