Spatial overlap report
Self atlas : /BICNAS2/group-northoff/jkokino/codes/har_med_codes/02_timeseries_extraction/results/atlases/self_atlas_1mm.nii.gz
Radius     : 4.0mm
Checked    : 327
Removed    : 11
Clean      : 316

REMOVED:
328	L_PF_ROI	-60.54	-30.17	37.16
329	L_PFm_ROI	-53.26	-47.52	43.70
331	L_PGs_ROI	-45.63	-67.12	42.77
332	L_V6A_ROI	-23.38	-82.61	45.80
333	L_VMV1_ROI	-18.48	-55.31	-7.53
334	L_VMV3_ROI	-27.75	-59.50	-9.92
335	L_PHA2_ROI	-30.75	-34.64	-13.34
336	L_V4t_ROI	-49.92	-75.72	-1.10
338	L_V3CD_ROI	-36.34	-82.67	14.47
339	L_LO3_ROI	-44.91	-76.23	11.28
340	L_VMV2_ROI	-27.25	-54.56	-6.06
341	L_31pd_ROI	-10.67	-52.50	37.29
342	L_31a_ROI	-6.22	-40.93	42.16
343	L_VVC_ROI	-28.82	-45.20	-18.17
344	L_25_ROI	-3.78	22.60	-13.12
345	L_s32_ROI	-4.81	35.76	-14.12
346	L_pOFC_ROI	-14.06	13.85	-19.34
347	L_PoI1_ROI	-38.27	-8.72	-5.39
348	L_Ig_ROI	-36.49	-11.79	12.81
350	L_p10p_ROI	-24.89	60.42	4.63
351	L_p47r_ROI	-45.73	44.15	-3.89
352	L_TGv_ROI	-35.97	-0.95	-45.48
353	L_MBelt_ROI	-45.77	-15.36	4.17
354	L_LBelt_ROI	-47.37	-24.25	10.19
355	L_A4_ROI	-64.27	-15.41	6.83
356	L_STSva_ROI	-53.87	-9.79	-16.75
357	L_TE1m_ROI	-64.73	-22.93	-15.65
358	L_PI_ROI	-44.34	-3.28	-12.89
359	L_a32pr_ROI	-10.80	26.76	30.62
360	L_p24_ROI	-5.09	36.57	16.19
