subject,session,atlas,roi_id,tau,spike
sub-23,ses-01,nonself,113,5.193702147200268,B
sub-23,ses-01,nonself,134,5.193702147200268,B
sub-23,ses-01,nonself,168,5.193702147200268,B
sub-23,ses-01,nonself,202,5.193702147200268,B
sub-23,ses-01,nonself,277,5.193702147200268,B
sub-23,ses-02,nonself,18,5.193702147200268,B
sub-23,ses-02,nonself,41,5.193702147200268,B
sub-23,ses-02,nonself,112,5.193702147200268,B
sub-23,ses-02,nonself,169,5.193702147200268,B
sub-23,ses-02,nonself,254,5.193702147200268,B
sub-23,ses-02,nonself,281,5.193702147200268,B
sub-23,ses-02,nonself,311,5.193702147200268,B
sub-24,ses-01,nonself,10,5.193702147200268,B
sub-24,ses-01,nonself,68,1.0,A
sub-24,ses-01,nonself,76,1.0,A
sub-24,ses-01,nonself,78,1.0,A
sub-24,ses-01,nonself,79,1.0,A
sub-24,ses-01,nonself,81,1.0,A
sub-24,ses-01,nonself,105,1.0,A
sub-24,ses-01,nonself,114,1.0,A
sub-24,ses-01,nonself,151,1.0,A
sub-24,ses-01,nonself,217,1.0,A
sub-24,ses-01,nonself,227,1.0,A
sub-24,ses-01,nonself,235,1.0,A
sub-24,ses-01,nonself,236,1.0,A
sub-24,ses-01,nonself,237,1.0,A
sub-24,ses-01,nonself,238,1.0,A
sub-24,ses-01,nonself,240,1.0,A
sub-24,ses-01,nonself,272,1.0,A
sub-24,ses-01,nonself,302,1.0,A
sub-24,ses-01,nonself,308,1.0,A
sub-24,ses-02,self,28,5.193702147200268,B
sub-24,ses-02,nonself,68,1.0,A
sub-24,ses-02,nonself,76,1.0,A
sub-24,ses-02,nonself,78,1.0,A
sub-24,ses-02,nonself,79,1.0,A
sub-24,ses-02,nonself,81,1.0,A
sub-24,ses-02,nonself,95,5.193702147200268,B
sub-24,ses-02,nonself,114,1.0,A
sub-24,ses-02,nonself,144,1.0,A
sub-24,ses-02,nonself,151,1.0,A
sub-24,ses-02,nonself,191,5.193702147200268,B
sub-24,ses-02,nonself,217,1.0,A
sub-24,ses-02,nonself,220,5.193702147200268,B
sub-24,ses-02,nonself,227,1.0,A
sub-24,ses-02,nonself,235,1.0,A
sub-24,ses-02,nonself,236,1.0,A
sub-24,ses-02,nonself,237,1.0,A
sub-24,ses-02,nonself,238,1.0,A
sub-24,ses-02,nonself,240,1.0,A
sub-24,ses-02,nonself,244,5.193702147200268,B
sub-24,ses-02,nonself,249,5.193702147200268,B
sub-24,ses-02,nonself,272,1.0,A
sub-24,ses-02,nonself,302,1.0,A
sub-24,ses-02,nonself,308,1.0,A
sub-25,ses-01,nonself,68,1.0,A
sub-25,ses-01,nonself,76,1.0,A
sub-25,ses-01,nonself,78,1.0,A
sub-25,ses-01,nonself,79,1.0,A
sub-25,ses-01,nonself,80,1.0,A
sub-25,ses-01,nonself,81,1.0,A
sub-25,ses-01,nonself,106,5.193702147200268,B
sub-25,ses-01,nonself,114,1.0,A
sub-25,ses-01,nonself,151,1.0,A
sub-25,ses-01,nonself,217,1.0,A
sub-25,ses-01,nonself,235,1.0,A
sub-25,ses-01,nonself,237,1.0,A
sub-25,ses-01,nonself,238,1.0,A
sub-25,ses-01,nonself,240,1.0,A
sub-25,ses-01,nonself,269,5.193702147200268,B
sub-25,ses-01,nonself,272,1.0,A
sub-25,ses-01,nonself,308,1.0,A
sub-25,ses-02,nonself,11,5.193702147200268,B
sub-25,ses-02,nonself,56,1.0,A
sub-25,ses-02,nonself,57,1.0,A
sub-25,ses-02,nonself,67,1.0,A
sub-25,ses-02,nonself,68,1.0,A
sub-25,ses-02,nonself,73,1.0,A
sub-25,ses-02,nonself,76,1.0,A
sub-25,ses-02,nonself,77,1.0,A
sub-25,ses-02,nonself,78,1.0,A
sub-25,ses-02,nonself,79,1.0,A
sub-25,ses-02,nonself,80,1.0,A
sub-25,ses-02,nonself,81,1.0,A
sub-25,ses-02,nonself,105,1.0,A
sub-25,ses-02,nonself,114,1.0,A
sub-25,ses-02,nonself,150,1.0,A
sub-25,ses-02,nonself,151,1.0,A
sub-25,ses-02,nonself,209,5.193702147200268,B
sub-25,ses-02,nonself,217,1.0,A
sub-25,ses-02,nonself,235,1.0,A
sub-25,ses-02,nonself,236,1.0,A
sub-25,ses-02,nonself,237,1.0,A
sub-25,ses-02,nonself,238,1.0,A
sub-25,ses-02,nonself,240,1.0,A
sub-25,ses-02,nonself,272,1.0,A
sub-25,ses-02,nonself,299,5.193702147200268,B
sub-25,ses-02,nonself,308,1.0,A
sub-27,ses-01,nonself,18,5.193702147200268,B
sub-27,ses-01,nonself,78,1.0,A
sub-27,ses-01,nonself,100,5.193702147200268,B
sub-27,ses-01,nonself,161,5.193702147200268,B
sub-27,ses-01,nonself,292,5.193702147200268,B
sub-27,ses-02,nonself,9,5.26196653084599,B
sub-27,ses-02,nonself,78,1.0,A
sub-27,ses-02,nonself,192,5.1492210518668475,B
sub-27,ses-02,nonself,196,5.070164261193673,B
sub-27,ses-02,nonself,201,5.112989040434587,B
sub-27,ses-02,nonself,247,5.193702147200268,B
sub-28,ses-01,self,6,5.193702147200268,B
sub-28,ses-01,nonself,60,5.193702147200268,B
sub-28,ses-01,nonself,78,5.257809435264084,B
sub-28,ses-02,nonself,52,5.193702147200268,B
sub-28,ses-02,nonself,118,5.193702147200268,B
sub-28,ses-02,nonself,214,5.193702147200268,B
sub-28,ses-02,nonself,257,5.193702147200268,B
sub-28,ses-02,nonself,301,5.193702147200268,B
sub-29,ses-01,nonself,10,5.193702147200268,B
sub-29,ses-01,nonself,23,5.193702147200268,B
sub-29,ses-01,nonself,68,1.0,A
sub-29,ses-01,nonself,69,5.193702147200268,B
sub-29,ses-01,nonself,78,1.0,A
sub-29,ses-01,nonself,157,5.193702147200268,B
sub-29,ses-01,nonself,164,5.193702147200268,B
sub-29,ses-01,nonself,187,5.193702147200268,B
sub-29,ses-01,nonself,236,1.0,A
sub-29,ses-01,nonself,256,5.193702147200268,B
sub-29,ses-01,nonself,269,5.193702147200268,B
sub-29,ses-01,nonself,280,5.193702147200268,B
sub-29,ses-02,self,18,5.193702147200268,B
sub-29,ses-02,self,27,5.193702147200268,B
sub-29,ses-02,nonself,54,5.193702147200268,B
sub-29,ses-02,nonself,68,1.0,A
sub-29,ses-02,nonself,77,1.0,A
sub-29,ses-02,nonself,78,1.0,A
sub-29,ses-02,nonself,103,5.193702147200268,B
sub-29,ses-02,nonself,105,5.193702147200268,B
sub-29,ses-02,nonself,114,1.0,A
sub-29,ses-02,nonself,134,5.193702147200268,B
sub-29,ses-02,nonself,151,1.0,A
sub-29,ses-02,nonself,236,1.0,A
sub-29,ses-02,nonself,237,1.0,A
sub-29,ses-02,nonself,238,1.0,A
sub-29,ses-02,nonself,254,5.193702147200268,B
sub-29,ses-02,nonself,272,1.0,A
sub-29,ses-02,nonself,280,5.193702147200268,B
sub-29,ses-02,nonself,308,1.0,A
sub-29,ses-02,nonself,315,5.193702147200268,B
sub-30,ses-01,nonself,82,5.193702147200268,B
sub-30,ses-01,nonself,105,5.193702147200268,B
sub-30,ses-01,nonself,110,5.193702147200268,B
sub-30,ses-01,nonself,137,5.193702147200268,B
sub-30,ses-01,nonself,203,5.193702147200268,B
sub-30,ses-01,nonself,207,1.0420993483942445,A
sub-30,ses-01,nonself,237,1.0,A
sub-30,ses-01,nonself,289,5.193702147200268,B
sub-30,ses-01,nonself,290,5.193702147200268,B
sub-30,ses-01,nonself,308,5.193702147200268,B
sub-30,ses-02,self,19,5.193702147200268,B
sub-30,ses-02,nonself,11,5.193702147200268,B
sub-30,ses-02,nonself,63,5.107209840023858,B
sub-30,ses-02,nonself,68,1.0,A
sub-30,ses-02,nonself,76,1.0,A
sub-30,ses-02,nonself,77,1.0,A
sub-30,ses-02,nonself,78,1.0,A
sub-30,ses-02,nonself,79,1.0,A
sub-30,ses-02,nonself,81,1.0,A
sub-30,ses-02,nonself,101,5.193702147200268,B
sub-30,ses-02,nonself,114,1.0,A
sub-30,ses-02,nonself,117,5.193702147200268,B
sub-30,ses-02,nonself,149,1.0,A
sub-30,ses-02,nonself,150,1.0,A
sub-30,ses-02,nonself,151,1.0,A
sub-30,ses-02,nonself,179,5.193702147200268,B
sub-30,ses-02,nonself,188,5.040990271718114,B
sub-30,ses-02,nonself,235,1.0,A
sub-30,ses-02,nonself,237,1.0,A
sub-30,ses-02,nonself,238,1.0,A
sub-30,ses-02,nonself,240,1.0,A
sub-30,ses-02,nonself,308,1.0,A
sub-31,ses-01,nonself,68,1.0,A
sub-31,ses-01,nonself,71,5.193702147200268,B
sub-31,ses-01,nonself,81,1.0,A
sub-31,ses-01,nonself,102,1.0,A
sub-31,ses-01,nonself,114,1.0,A
sub-31,ses-01,nonself,117,1.0,A
sub-31,ses-01,nonself,150,1.0,A
sub-31,ses-01,nonself,151,1.0,A
sub-31,ses-01,nonself,179,5.193702147200268,B
sub-31,ses-01,nonself,206,5.193702147200268,B
sub-31,ses-01,nonself,214,5.193702147200268,B
sub-31,ses-01,nonself,237,1.0,A
sub-31,ses-01,nonself,238,1.0,A
sub-31,ses-01,nonself,240,1.0,A
sub-31,ses-01,nonself,272,1.0,A
sub-31,ses-01,nonself,308,1.0,A
sub-31,ses-02,nonself,49,5.193702147200268,B
sub-31,ses-02,nonself,68,1.0,A
sub-31,ses-02,nonself,81,1.0,A
sub-31,ses-02,nonself,88,5.193702147200268,B
sub-31,ses-02,nonself,92,5.193702147200268,B
sub-31,ses-02,nonself,102,1.0,A
sub-31,ses-02,nonself,114,1.0,A
sub-31,ses-02,nonself,151,1.0,A
sub-31,ses-02,nonself,167,5.193702147200268,B
sub-31,ses-02,nonself,237,1.0,A
sub-31,ses-02,nonself,240,1.0,A
sub-31,ses-02,nonself,252,5.193702147200268,B
sub-31,ses-02,nonself,272,1.0,A
sub-31,ses-02,nonself,308,1.0,A
sub-32,ses-01,nonself,95,5.193702147200268,B
sub-32,ses-01,nonself,105,5.193702147200268,B
sub-32,ses-01,nonself,117,1.0,A
sub-32,ses-01,nonself,151,1.0,A
sub-32,ses-01,nonself,240,1.0,A
sub-32,ses-01,nonself,308,1.0,A
sub-32,ses-01,nonself,313,5.193702147200268,B
sub-32,ses-02,nonself,39,5.193702147200268,B
sub-32,ses-02,nonself,95,5.193702147200268,B
sub-32,ses-02,nonself,117,1.0,A
sub-32,ses-02,nonself,151,1.0,A
sub-32,ses-02,nonself,167,5.193702147200268,B
