atlas,roi_pos_id,roi_name,subgroup,placebo_change,verum_change,interaction
nonself,61,R_8BL_ROI,Default,-0.18625044847046857,0.06682586350836095,0.2530763119788295
nonself,191,L_31pv_ROI,Default,-0.12263964167778818,0.09889962611849423,0.2215392677962824
nonself,262,L_H_ROI,Default,0.04758088651041659,0.25863312125742066,0.21105223474700407
nonself,29,R_POS1_ROI,Default,0.14700226459987897,0.3207571637094735,0.17375489910959452
nonself,220,L_8BL_ROI,Default,-0.06453687239285966,0.10772711928070544,0.1722639916735651
nonself,298,L_31pd_ROI,Default,-0.0861236167229471,0.06400170475089517,0.15012532147384228
nonself,271,L_STSvp_ROI,Default,-0.004452128341625894,0.14267716037773104,0.14712928871935693
nonself,55,R_p32_ROI,Default,-0.01617840110327906,0.12246011526237632,0.13863851636565538
nonself,58,R_8Av_ROI,Default,-0.0884703770452635,0.03680750546890543,0.12527788251416894
nonself,31,R_d23ab_ROI,Default,-0.07333642988267286,0.041510618717488956,0.11484704860016182
nonself,30,R_v23ab_ROI,Default,-0.007024819517690073,0.10174986686202958,0.10877468637971965
nonself,62,R_9p_ROI,Default,-0.04934582026228762,0.05314146609681725,0.10248728635910487
nonself,113,R_STSvp_ROI,Default,-0.016757787013167214,0.08361344888340039,0.1003712358965676
nonself,289,L_PGs_ROI,Default,-0.059857539551060324,0.007959717541427214,0.06781725709248754
nonself,59,R_8Ad_ROI,Default,-0.05245673585055588,0.015012072053545822,0.0674688079041017
nonself,32,R_31pv_ROI,Default,-0.004305131050142297,0.03838905766650713,0.04269418871664943
nonself,60,R_9m_ROI,Default,0.07450649183274027,0.1158723931197092,0.04136590128696893
nonself,109,R_PHA1_ROI,Default,-0.04283451482960965,-0.01296986464641936,0.02986465018319029
nonself,299,L_31a_ROI,Default,0.02039652547650661,0.041336599795148476,0.020940074318641866
nonself,75,R_9a_ROI,Default,0.12416218178073946,0.13971768745900004,0.015555505678260584
nonself,293,L_PHA2_ROI,Default,0.02410217035030371,0.025738283134776996,0.001636112784473287
nonself,215,L_d32_ROI,Default,0.08453973079545518,0.07290180694470694,-0.011637923850748244
nonself,222,L_10d_ROI,Default,-0.027622380257367407,-0.04440064554100864,-0.016778265283641236
nonself,189,L_POS1_ROI,Default,0.09338965407272015,0.06521217617318964,-0.028177477899530512
nonself,130,R_PGs_ROI,Default,0.008088564442305213,-0.025949149677571004,-0.03403771411987622
nonself,190,L_v23ab_ROI,Default,0.1413431222225756,0.09591706703183611,-0.0454260551907395
nonself,155,R_STSva_ROI,Default,0.13547649751025048,0.06322288073072713,-0.07225361677952336
nonself,221,L_9p_ROI,Default,0.04341613412613121,-0.10575639885788979,-0.149172532984021
nonself,219,L_8Av_ROI,Default,0.18390533895755512,-0.01122349226874686,-0.19512883122630198
nonself,140,R_31pd_ROI,Default,0.08581799882301722,-0.11947916080043264,-0.20529715962344985
nonself,226,L_47l_ROI,Default,0.19953448033535937,-0.023177920226562954,-0.22271240056192232
nonself,28,R_7m_ROI,Default,0.1405215190718696,-0.09470381556666574,-0.23522533463853534
nonself,67,R_47l_ROI,Default,0.20850401217925807,-0.06244646903052464,-0.2709504812097827
nonself,111,R_STSda_ROI,Default,0.2382048914840369,-0.03451508195773867,-0.27271997344177556
nonself,53,R_a24_ROI,Default,0.16871636941880608,-0.10402746680390917,-0.27274383622271525
nonself,188,L_7m_ROI,Default,0.2547928130614885,-0.04956996932982127,-0.30436278239130976
nonself,63,R_10d_ROI,Default,0.2312424335779184,-0.17640022306143344,-0.40764265663935184
nonself,110,R_PHA3_ROI,Dorsal-Attention,-0.24651570329567685,0.10898492428761086,0.3555006275832877
nonself,268,L_PHA3_ROI,Dorsal-Attention,-0.11418488394407333,0.20864049807807517,0.3228253820221485
nonself,285,L_IP0_ROI,Dorsal-Attention,-0.026994400772179628,0.1023461354132964,0.12934053618547603
nonself,243,L_6a_ROI,Dorsal-Attention,0.016809326897322396,0.12642942938663682,0.10962010248931442
nonself,169,L_PEF_ROI,Dorsal-Attention,-0.06137307740636544,-0.037369855576136146,0.024003221830229293
nonself,120,R_PHT_ROI,Dorsal-Attention,0.057510992957063856,0.05609319448002781,-0.0014177984770360474
nonself,276,L_TE2p_ROI,Dorsal-Attention,0.13048609397606592,0.12716341880304238,-0.003322675173023537
nonself,83,R_LIPd_ROI,Dorsal-Attention,0.0016770888605170953,-0.016627377937660892,-0.018304466798177987
nonself,127,R_IP0_ROI,Dorsal-Attention,0.22829856655571978,0.20789897724768958,-0.020399589308030208
nonself,259,L_PFt_ROI,Dorsal-Attention,0.07366438716904122,0.011185107888767476,-0.06247927928027375
nonself,101,R_AIP_ROI,Dorsal-Attention,0.14456168214568166,0.061785906959411996,-0.08277577518626966
nonself,282,L_PGp_ROI,Dorsal-Attention,0.06964060032145714,-0.024511895496067027,-0.09415249581752416
nonself,242,L_LIPd_ROI,Dorsal-Attention,0.07288962499179341,-0.03177999823205724,-0.10466962322385065
