subject,session,atlas,roi_pos_id,roi_name,p0_value,p0_label
sub-29,ses-02,nonself,280,L_TPOJ3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-02,nonself,315,L_a32pr_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-01,nonself,110,R_PHA3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-01,nonself,137,R_V3CD_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-01,nonself,203,L_LIPv_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-01,nonself,289,L_PGs_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-01,nonself,290,L_V6A_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-02,self,19,Exteroception_R_IPL,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-02,nonself,11,R_PEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-02,nonself,101,R_AIP_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-30,ses-02,nonself,149,R_p10p_ROI,1.0,NaN fallback (1.0)
sub-30,ses-02,nonself,179,L_LO2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-31,ses-01,nonself,71,R_p9-46v_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-31,ses-01,nonself,179,L_LO2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-31,ses-01,nonself,206,L_2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-31,ses-01,nonself,214,L_p32pr_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
